Entity ID,Entity,Latitude,Longitude,State (US & Canada only),Alt. 1,City,Government Affiliated?,Designer,Developer,Utility,Country of Origin,Technology Type,Funding Amount ($MM USD),Design Count,Source,Projects,Project Source,Additional Funds (USD millions)
17,"BWX Technologies, Inc",,,,BWX Technologies,,,Yes,,,United States,High Temperature Gas-Cooled,"740,700,000",1,https://www.bwxt.com/,,,
133,SHINE Technologies,43.05,-89.33,Wisconsin,,Monona,No,,,,United States,Fusion,"445,000,000",1,http://shinemed.com/technology/,,,
166,Ultra Safe Nuclear Corporation,47.68,-122.32,Washington,USNC,Seattle,,,,,United States,Microreactor,"380,600,000",1,https://usnc.com/index.html,,,29
53,Focused Energy,,,,,,,,,,United States,Fusion,"232,207,918",1,https://focused-energy.world/,,,
179,Zap Energy,,,Washington,,Seattle,,,,,United States,Fusion,"218,793,164",1,https://www.zapenergy.com/,,,
37,Curio Solutions,,,,,,,,,,United States,"Homogeneous Plutonium Eliminating Reactor, Closed Cycle Advanced Renewable Reactor","182,614,174",0,https://curio.energy/,,,
57,General Atomics,32.73,-117.15,California,,San Diego,,Yes,,,United States,High Temperature Gas-Cooled,"180,839,563",3,http://www.ga.com/advanced-reactors,,,
54,Framatome,38.99,-77.12,Maryland,,Bethesda,,Yes,,,United States,High Temperature Gas-Cooled,"153,149,701",1,http://www.framatome.com/EN/us_platform-3225/framatome-htgr.html,,,
67,Holtec,26.91,-80.11,Florida,,Jupiter,,Yes,,,United States,Water-Cooled,"150,749,458",1,https://smrllc.com/,,,
3,Advanced Reactor Concepts,38.96,-77.07,Maryland,ARC Clean Energy,Chevy Chase,,Yes,,,United States,Liquid Metal-Cooled Fast Reactor,"72,282,402",1,http://www.arcnuclear.com/arc-100-reactor,,,
125,Radiant,34.02,-118.69,California,,Los Angeles,,No,,,United States,High Temperature Gas-Cooled,"52,800,000",2,https://www.radiantnuclear.com/,,,
180,Zeno Power,,,,,,,,,,United States,Radioisotope Power System,"51,800,000",0,https://www.zenopower.com/,,,
11,Avalanche Energy,,,,,,,,,,United States,Fusion,"45,000,000",1,https://www.avalanche.energy/,,,
174,Westinghouse,40.71,-80.11,Pennsylvania,Westinghouse Electric Company,Cranberry Township,,,,,United States,Microreactor; Liquid Metal-Cooled Fast Reactor; Water-Cooled,"43,320,000",5,http://www.westinghousenuclear.com/New-Plants/Lead-cooled-Fast-Reactor,,,
114,Oklo,37.41,-122.09,California,,Mountain View,,Yes,,,United States,Microreactor,"33,517,000",1,http://oklo.com/,,,
108,Niowave,42.71,-84.55,Michigan,,Lansing,,Yes,,,United States,hybrid fast/thermal core configuration,"31,500,000",0,http://www.niowaveinc.com/,,,
2,Abilene Christian University Nuclear Energy eXperimental Testing (NEXT) Laboratory,,,,,Abilene,,Yes,,,United States,Molten Salt Reactor,"31,160,563",0,https://acu.edu/research/next-lab/,,,
163,Type One Energy,,,,,,,,,,United States,Fusion,"29,000,000",1,https://www.typeoneenergy.com/,,,
300,Deep Isolation,,,,,,,,,,United States,"Directional Drilling, Deep Borehole Disposal, Natural Barriers, Engineered Barriers","18,500,000",0,https://www.deepisolation.com/,,,
139,Space Nuclear Power Corporation,35.89,-106.29,New Mexico,,Los Alamos,,,,,United States,Fast Neutron Reactor,"17,000,000",1,https://www.spacenukes.com/,,,
118,Phoenix,,,Wisconsin,,,,,,,United States,Fusion,"16,000,000",1,https://phoenixwi.com/,,,
126,Realta Fusion,,,,,,,,,,United States,Fusion,"12,000,000",1,https://phoenixwi.com/,,,
176,Xcimer Energy,,,,,,,,,,United States,Fusion,"9,000,000",1,https://xcimer.energy/,,,
